protocol,fold_0,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9
control_untreated_oxidative_SFPQ_SFPQ,0.7315104166666667,0.835205078125,0.884375,0.8210937500000001,0.705078125,0.8740234375,0.9153645833333331,0.6123046875,0.9189453125,0.3359375
control_untreated_oxidative_SFPQ_DAPI_BIII_SFPQ,0.9692708333333332,0.909912109375,0.9771484375,0.966796875,0.789794921875,0.965087890625,0.9957682291666666,0.9309895833333334,0.9921875,0.8857421875
control_untreated_oxidative_TDP-43_DAPI,0.8978515625000001,0.8625,0.91015625,0.900390625,0.8655598958333334,,0.6924479166666667,0.80859375,0.845703125,0.767578125
control_untreated_oxidative_TDP-43_BIII,0.98671875,0.973828125,0.96171875,0.9484375,0.96728515625,0.969921875,0.9201171875,0.98515625,1.0,0.8676215277777779
control_untreated_oxidative_TDP-43_DAPI_BIII,0.998046875,0.991796875,0.99296875,0.97705078125,0.9762369791666666,,0.8794270833333333,0.98828125,1.0,0.958984375
control_untreated_oxidative_TDP-43_TDP-43,0.989453125,0.9877604166666668,0.9934895833333334,0.9716796875,0.9996744791666666,,0.98583984375,0.992578125,1.0,0.998046875
control_untreated_oxidative_TDP-43_DAPI_BIII_TDP-43,1.0,0.99921875,1.0,0.998046875,1.0,,0.96875,0.99765625,1.0,0.984375
control_untreated_oxidative_FUS_DAPI,0.8946614583333333,0.82890625,0.9798177083333331,0.7130208333333333,0.9271875,0.89453125,0.9263020833333332,0.8937499999999999,0.812744140625,0.8522135416666667
control_untreated_oxidative_FUS_BIII,0.9828125,0.9791666666666666,0.9673828125,0.953125,0.9453125,0.94677734375,0.9989583333333332,0.9309895833333331,0.965576171875,0.9934895833333334
control_untreated_oxidative_FUS_DAPI_BIII,0.999609375,0.9934895833333334,0.9811197916666669,0.9361979166666666,0.98078125,0.98193359375,0.9640625,0.9466145833333334,0.988037109375,1.0
control_untreated_oxidative_FUS_FUS,0.99609375,0.962890625,0.9892578125,0.9434895833333332,0.9770833333333332,0.8876953125,0.9625,0.9598958333333332,0.911376953125,0.9921875
control_untreated_oxidative_FUS_DAPI_BIII_FUS,1.0,0.9921875,0.9645182291666669,0.97734375,0.9697916666666668,0.9384765625,0.99921875,0.9669270833333332,0.9814453125,1.0
control_untreated_oxidative_hnRNPA1_DAPI,0.9513020833333334,0.709765625,0.843125,0.894921875,0.9067708333333332,0.7958984375,0.9408854166666668,0.8883789062499999,0.8528645833333334,0.7587890625
control_untreated_oxidative_hnRNPA1_BIII,0.99921875,0.9796875,0.98828125,0.961328125,1.0,0.96671875,0.87578125,0.9265625,0.9694010416666669,0.992919921875
control_untreated_oxidative_hnRNPA1_DAPI_BIII,1.0,1.0,0.9990625,0.965234375,1.0,0.9951171875,0.884765625,0.9455729166666668,0.9996744791666666,0.9915364583333334
control_untreated_oxidative_hnRNPA1_hnRNPA1,0.9963541666666668,,0.9998046875,0.9884765625,0.999609375,0.96181640625,0.95,0.9380208333333332,0.99267578125,1.0
control_untreated_oxidative_hnRNPA1_DAPI_BIII_hnRNPA1,1.0,,0.9962890625,0.9853515625,0.998046875,0.996875,0.9125,0.9622395833333334,1.0,0.99853515625
control_untreated_oxidative_hnRNPK_DAPI,0.94384765625,0.83359375,0.9182291666666668,0.94375,0.9231770833333331,0.8986328125,0.8761718749999999,0.8683593749999999,0.9013671875,
control_untreated_oxidative_hnRNPK_BIII,0.988671875,0.9838541666666668,0.9986979166666666,0.956640625,0.9875,0.97671875,0.9755208333333334,0.9111979166666668,0.9934895833333334,0.9892578125
control_untreated_oxidative_hnRNPK_DAPI_BIII,0.9990234375,0.988671875,0.9966145833333332,0.9876953125,0.996875,0.9798828125,0.99765625,0.984765625,0.9384765625,
control_untreated_oxidative_hnRNPK_hnRNPK,0.968359375,0.948046875,0.9625,0.9861328125,1.0,0.8621093750000001,0.95078125,0.978125,0.9814453125,
control_untreated_oxidative_hnRNPK_DAPI_BIII_hnRNPK,1.0,0.99765625,0.99921875,0.9990234375,0.996875,0.9798828125,0.98984375,0.99296875,0.98046875,
control_untreated_oxidative_all_DAPI,,,,,,,,,,
control_untreated_oxidative_all_BIII,,,,,,,,,,
control_untreated_oxidative_all_DAPI_BIII,,,,,,,,,,
control_untreated_heat_SFPQ_DAPI,0.8563895089285716,0.7498121995192307,0.8614383012820512,0.7591646634615384,0.7130623282967032,0.8041294642857143,0.6441778273809524,0.7262454342532467,0.8003045944940477,0.8807592147435898
control_untreated_heat_SFPQ_BIII,0.9646949404761904,0.9526742788461541,0.966015625,0.9148780906593406,0.9813855229591836,0.9767857142857144,0.9481026785714286,0.9513671875,0.97998046875,0.9844501201923076
control_untreated_heat_SFPQ_DAPI_BIII,0.941201636904762,0.9571951486013986,0.9749799679487181,0.9415779532967032,0.986800309065934,0.9824683779761904,0.9487723214285714,0.9300426136363636,0.9841192336309524,0.9806690705128204
control_untreated_heat_SFPQ_SFPQ,0.94870364010989,0.9047111742424244,0.9473958333333332,0.8672337278106509,0.9331430288461541,0.920673076923077,0.7942508012820514,0.9316907051282052,0.9173177083333334,0.9060314685314684
control_untreated_heat_SFPQ_DAPI_BIII_SFPQ,0.9922948145604396,0.96328125,0.9918469551282052,0.9522466715976332,0.9971454326923076,0.9973260788690476,0.9751402243589744,0.9693175747863249,0.9809445112179488,0.9929250437062938
control_untreated_heat_TDP-43_DAPI,0.6697916666666667,0.7842548076923078,0.7614397321428571,0.7384706439393941,0.7940972222222222,0.7759915865384616,0.7612847222222221,0.7192336309523809,0.7951645710059172,0.7432045118343196
control_untreated_heat_TDP-43_BIII,0.9380208333333332,0.97265625,0.9859295280612244,0.9511618589743588,0.9751402243589744,0.950095663265306,0.8629278273809524,0.9866257440476188,0.9576553254437872,0.975103021978022
control_untreated_heat_TDP-43_DAPI_BIII,0.9398220486111112,0.9777443910256408,0.9876036352040816,0.9365767045454544,0.9818250868055556,0.9474802541208792,0.9440755208333332,0.9880580357142856,0.9502357618343196,0.9871024408284024
control_untreated_heat_TDP-43_TDP-43,0.9678602430555556,0.9820512820512819,0.9875438456632654,0.9679214015151516,0.9918728298611112,0.9246866414835164,0.9916759672619048,0.9731146364795921,0.9341446314102564,0.9487564718934912
